,feat_qqq_spy_rs_10d,feat_qqq_iwm_rs_10d,feat_tlt_return_5d,feat_gld_return_5d,feat_spy_qqq_spread_5d,feat_smh_qqq_rs_10d,feat_smh_return_5d,feat_hyg_tlt_spread_5d,feat_uup_return_5d,feat_uup_return_10d
2007-04-12,,,,,,,,,,
2007-04-13,,,,,,,,,,
2007-04-16,,,,,,,,,,
2007-04-17,,,,,,,,,,
2007-04-18,,,,,,,,,,
2007-04-19,,,0.011328502925779915,0.008060918536308748,0.004525162836705787,,0.03983836871912949,-0.010275059023457933,-0.006072936082818781,
2007-04-20,,,0.011822758801936395,0.012676896473698962,0.005911108365929341,,0.05105884128823668,-0.009520179352258573,-0.009315570863098754,
2007-04-23,,,0.009931538375985705,-0.0020467746568026968,0.00017164919167167447,,0.03689831780531194,-0.006668304573089534,0.0,
2007-04-24,,,0.008060015250128894,-0.003970538868623641,-0.0049549974708889,,0.07279031009567039,0.0025987193077463555,-0.0008136882760678699,
2007-04-25,,,-0.00045183458803677023,-0.007165807011567882,-0.013876147161687058,,0.05958400288879129,0.01235550661415108,-0.001221946241513061,
2007-04-26,0.009825308607129823,0.01906858700531311,-0.005996818236791435,-0.009773375457503786,-0.01457084466987335,0.036836975801467275,0.041643530842229604,0.016233111237075604,0.002851389179156394,-0.003238863207894682
2007-04-27,0.013635560997057539,0.028339453965450456,-0.0036301723117982965,-0.016593878315705024,-0.0196478608198829,0.03108988547590208,0.023185210135281187,0.014446648239952453,0.0032707209341422683,-0.006075318561591825
2007-04-30,0.009036950097583762,0.04195448194348361,0.0031649008187348837,-0.017140430145384355,-0.009222893318559189,0.0346814016431749,0.01779258737639622,0.007167078935086613,-0.004066709265929114,-0.004066709265929114
2007-05-01,0.006022586645048733,0.0313784833333044,-0.0034910492943067695,-0.015355099128617988,-0.001100721299907459,0.047365211483927805,-0.007269802428670036,0.00425116170337736,0.003257325954627799,0.0024409872306192515
2007-05-02,0.015671029092092503,0.026304676282248307,-0.000564983880327885,-0.018117480315173018,-0.001973852478981186,0.011320645400496154,-0.015649871104721158,-0.0005734540516799669,0.005709599797503628,0.004480676731977606
2007-05-03,0.010480162475015264,0.020107720367351867,0.004439378445331821,0.009271647849890208,0.0038183520171539698,-0.0026584191001620683,-0.011993623599392711,-0.007280244228457855,0.002843204404472166,0.005702700665901617
2007-05-04,0.01143973091595507,0.020767706841207323,0.008766897723030187,0.009325117015673401,0.008007376903917063,0.008288812550102165,0.0121392167964407,-0.010376728891607123,0.0024449659211063235,0.005723683656470024
2007-05-07,0.005877488687505927,0.02104069128140873,0.0010140432438381364,0.017290262713194338,0.003359912769439699,0.015787338448180588,0.023490865774757452,-0.0028131384081990785,0.0069416120001124515,0.0028466732163421327
2007-05-08,0.004698925281493294,0.021171394915980413,0.0016951240761677866,0.01784367624003691,-0.0036486732463711924,-0.018091697277043073,0.01139142923270775,-8.116636241028985e-05,0.0036526036857653654,0.0069218273611808545
2007-05-09,-1.0214472186964585e-05,0.008658399115062831,-0.0016960823353469046,0.011851083749367719,0.0020008126859465403,-0.0006117975317873059,0.02667738742891257,0.0010312547713280384,0.004055165534813332,0.00978791870463347
2007-05-10,-0.007269327803415604,0.007709780589371773,0.0029465338001466446,-0.022077313838076207,0.0034641544518484446,0.007793908228076907,0.0121392167964407,-9.757450604452877e-05,0.004050238125016925,0.006904958184365206
2007-05-11,-0.004346566635883509,0.006705240414167646,-0.004627494805596433,-0.02551701761059766,-0.0036143095020726435,0.01994887121591682,0.01226010338114114,0.006809068895208714,0.008536548016919498,0.011002385507011159
2007-05-14,-0.00416365433076038,-1.9999885766064374e-05,-0.009905417488661583,-0.0288644867502289,0.0008633978979755152,0.02841849404877661,0.0157459336366903,0.012087198563680901,0.0052717383990121824,0.01224994476165664
2007-05-15,-0.008748372236584423,0.005159714945280891,-0.008009917524385401,-0.019740665764731657,0.012287745126207228,0.014736834843357416,0.007240559161564519,0.008673421740728604,-0.0008087528562025215,0.002840896775899493
2007-05-16,-0.010825989431083483,0.011915762152175047,-0.00475702984018711,-0.0274277028587665,0.0088899674512396,0.00634364913487051,-0.01706030806334924,0.01074445852398398,0.0024232417361771397,0.00648823391736153
2007-05-17,-0.01182441665525169,0.013131024139239056,-0.011186416539768707,-0.014242461233427983,0.00846784295921621,0.006425666288415233,-0.011194082583111387,0.013269761462894158,0.003630425248709379,0.007695367460478497
2007-05-18,-0.009442274824518981,0.015075021955024637,-0.014287357992394,-0.013995490562627944,0.013162768735497155,-0.011557142462986336,-0.02185355519645038,0.016085529537222976,0.000806145029995875,0.009349574742672617
2007-05-21,-0.002359213851476416,0.0059565094162818966,-0.008753941008195487,-0.009203388979875826,0.0015146595043757927,-0.017878147723433546,-0.02522340684526647,0.011593462238962515,0.004437220610751913,0.009732350876042517
